Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.4;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 2;;;;;;;;;;
T° Bac trempe;Bas=;0;Haut=;50;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
N° Programme;Bas=;0;Haut=;50;Unités=;;;;;;
Chrono Trempe;Bas=;00:00:00;Haut=;00:00:00;Unités=;;;;;;
Date/Heure;;T° Bac trempe;% Puissance;Consigne T°;N° Programme;Chrono Trempe;;;;;
;;°C;%;°C;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 Démarrage lot (Invité);;;;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 N° OF 340653--5374OFF;;;;;;;;;;
09/02/2023 14:53;;20;20,3;495;6;00:00:00;;;;;
09/02/2023 14:54;;20;20,2;495;6;00:00:00;;;;;
09/02/2023 14:54;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:54;;20;21,1;495;6;00:00:00;;;;;
09/02/2023 14:54;;20;20,8;495;6;00:00:00;;;;;
09/02/2023 14:54;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 14:54;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 14:55;;20;20,1;495;6;00:00:00;;;;;
09/02/2023 14:55;;20;20,4;495;6;00:00:00;;;;;
09/02/2023 14:55;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 14:55;;20;19,8;495;6;00:00:00;;;;;
09/02/2023 14:55;;20;20,3;495;6;00:00:00;;;;;
09/02/2023 14:55;;20;20,1;495;6;00:00:00;;;;;
09/02/2023 14:56;;20;20;495;6;00:00:00;;;;;
09/02/2023 14:56;;20;19,9;495;6;00:00:00;;;;;
09/02/2023 14:56;;20;19,7;495;6;00:00:00;;;;;
09/02/2023 14:56;;20;20,4;495;6;00:00:00;;;;;
09/02/2023 14:56;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:56;;20;21,3;495;6;00:00:00;;;;;
09/02/2023 14:57;;20;22,3;495;6;00:00:00;;;;;
09/02/2023 14:57;;20;21,7;495;6;00:00:00;;;;;
09/02/2023 14:57;;20;20,7;495;6;00:00:00;;;;;
09/02/2023 14:57;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:57;;20;20,8;495;6;00:00:00;;;;;
09/02/2023 14:57;;20;20,6;495;6;00:00:00;;;;;
09/02/2023 14:58;;20;20,3;495;6;00:00:00;;;;;
09/02/2023 14:58;;20;20,2;495;6;00:00:00;;;;;
09/02/2023 14:58;;20;20,3;495;6;00:00:00;;;;;
09/02/2023 14:58;;20;20,1;495;6;00:00:00;;;;;
09/02/2023 14:58;;20;20,2;495;6;00:00:00;;;;;
09/02/2023 14:58;;20;20;495;6;00:00:00;;;;;
09/02/2023 14:59;;20;20,1;495;6;00:00:00;;;;;
09/02/2023 14:59;;20;20,6;495;6;00:00:00;;;;;
09/02/2023 14:59;;20;19,5;495;6;00:00:00;;;;;
09/02/2023 14:59;;20;19,7;495;6;00:00:00;;;;;
09/02/2023 14:59;;20;19,7;495;6;00:00:00;;;;;
09/02/2023 14:59;;20;19,5;495;6;00:00:00;;;;;
09/02/2023 15:00;;20;19,5;495;6;00:00:00;;;;;
09/02/2023 15:00;;20;20,9;495;6;00:00:00;;;;;
09/02/2023 15:00;;20;20,9;495;6;00:00:00;;;;;
09/02/2023 15:00;;20;19,8;495;6;00:00:00;;;;;
09/02/2023 15:00;;20;20,1;495;6;00:00:00;;;;;
09/02/2023 15:00;;20;20,7;495;6;00:00:00;;;;;
09/02/2023 15:01;;20;20,4;495;6;00:00:00;;;;;
09/02/2023 15:01;;20;19,8;495;6;00:00:00;;;;;
09/02/2023 15:01;;20;20,2;495;6;00:00:00;;;;;
09/02/2023 15:01;;20;20,7;495;6;00:00:00;;;;;
09/02/2023 15:01;;20;20,4;495;6;00:00:00;;;;;
09/02/2023 15:01;;20;20,7;495;6;00:00:00;;;;;
09/02/2023 15:02;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 15:02;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 15:02;;20;20,3;495;6;00:00:00;;;;;
09/02/2023 15:02;;20;18,7;495;6;00:00:00;;;;;
09/02/2023 15:02;;20;18,7;495;6;00:00:00;;;;;
09/02/2023 15:02;;20;18,8;495;6;00:00:00;;;;;
09/02/2023 15:03;;20;20,3;495;6;00:00:00;;;;;
09/02/2023 15:03;;1;19,7;495;6;00:00:00;;;;;
09/02/2023 15:03;;2;19,8;495;6;00:00:00;;;;;
09/02/2023 15:03;;3;19,6;495;6;00:00:00;;;;;
09/02/2023 15:03;;4;19,3;495;6;00:00:00;;;;;
09/02/2023 15:03;;5;19,2;495;6;00:00:00;;;;;
09/02/2023 15:04;;6;19;495;6;00:00:00;;;;;
09/02/2023 15:04;;7;18,7;495;6;00:00:00;;;;;
09/02/2023 15:04;;8;19,5;495;6;00:00:00;;;;;
09/02/2023 15:04;;9;19,6;495;6;00:00:00;;;;;
09/02/2023 15:04;;10;20,2;495;6;00:00:00;;;;;
09/02/2023 15:04;;11;20,6;495;6;00:00:00;;;;;
09/02/2023 15:05;;12;21;495;6;00:00:00;;;;;
09/02/2023 15:05;;13;19,9;495;6;00:00:00;;;;;
09/02/23 15:05:17.125;09/02/23 15:05:17 Temps de transfert 00:00:05;;;;;;;;;;
09/02/2023 15:05;;14;100;495;6;00:00:05;;;;;
09/02/2023 15:05;;15;100;495;6;00:00:05;;;;;
09/02/2023 15:05;;16;100;495;6;00:00:05;;;;;
09/02/2023 15:05;;17;100;495;6;00:00:05;;;;;
09/02/2023 15:06;;18;100;495;6;00:00:05;;;;;
09/02/2023 15:06;;19;100;495;6;00:00:05;;;;;
09/02/2023 15:06;;20;100;495;6;00:00:05;;;;;
09/02/2023 15:06;;21;100;495;6;00:00:05;;;;;
09/02/2023 15:06;;21,4;100;495;6;00:00:05;;;;;
09/02/2023 15:06;;21,6;100;495;6;00:00:05;;;;;
09/02/2023 15:07;;21,7;100;495;6;00:00:05;;;;;
09/02/2023 15:07;;21,8;100;495;6;00:00:05;;;;;
09/02/23 15:07:11.75;09/02/23 15:07:11 Arrêt lot (Automatique);;;;;;;;;;
09/02/23 15:07:11.75;09/02/23 15:07:11 N° OF 340653--5374OFF;;;;;;;;;;
09/02/23 15:07:11.75;;21,8;100;495;6;00:00:05;;;;;
